,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,Mama,Blue,Jonas Blue,2018-11-09,184133,73,0.101,0.738,0.794,0.0,0.0533,-4.118,0.0416,104.014,4,0.566
1,Flames,7,David Guetta,2018-09-14,194680,64,0.0817,0.631,0.649,3.8e-06,0.0934,-5.892,0.0385,93.95,4,0.421
2,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),Calvin Harris,2018-04-06,214846,84,0.037,0.791,0.862,2.19e-05,0.0814,-3.24,0.11,123.994,4,0.592
3,Clarity,Clarity,Zedd,2012-01-01,271426,74,0.0398,0.509,0.781,0.0,0.0749,-3.48,0.072,128.0,4,0.176
4,Middle,Encore,DJ Snake,2016-08-05,220573,75,0.0141,0.583,0.695,0.0,0.0527,-5.336,0.0423,104.879,4,0.224
5,Roses (feat. ROZES),Roses (feat. ROZES),The Chainsmokers,2015-06-16,226738,73,0.0435,0.713,0.802,0.00377,0.309,-7.055,0.0561,100.001,4,0.343
6,One Dance,Views,Drake,2016-05-06,173986,81,0.00776,0.792,0.625,0.0018,0.329,-5.609,0.0536,103.967,4,0.37
7,Starboy,Starboy,The Weeknd,2016-11-25,230453,84,0.141,0.679,0.587,6.35e-06,0.137,-7.015,0.276,186.003,4,0.486
8,Cake By The Ocean,DNCE,DNCE,2016-11-18,219146,80,0.152,0.774,0.753,0.0,0.0371,-5.446,0.0517,119.002,4,0.896
9,Fast Car,Blue,Jonas Blue,2018-11-09,212424,74,0.469,0.672,0.578,0.0,0.312,-6.621,0.0569,113.945,4,0.548
10,Titanium (feat. Sia),Nothing but the Beat (Ultimate Edition),David Guetta,2012-12-07,245040,79,0.0679,0.604,0.787,0.15,0.127,-3.674,0.103,126.062,4,0.301
11,How Deep Is Your Love,How Deep Is Your Love,Calvin Harris,2015-07-17,212640,77,0.0389,0.738,0.868,0.00171,0.388,-4.373,0.0731,122.003,4,0.336
12,Happy Now,Happy Now,Zedd,2018-07-18,207029,76,0.579,0.503,0.741,1.49e-06,0.0712,-5.128,0.047,88.335,3,0.458
13,Dance To This (feat. Ariana Grande),Bloom,Troye Sivan,2018-08-31,231846,72,0.00632,0.736,0.756,0.00577,0.106,-7.099,0.047,117.016,4,0.712
14,Closer,Closer,The Chainsmokers,2016-07-29,244960,84,0.414,0.748,0.524,0.0,0.111,-5.599,0.0338,95.01,4,0.661
15,Strip That Down (feat. Quavo),LP1,Liam Payne,2019-12-06,202061,73,0.199,0.873,0.495,0.0,0.0805,-5.446,0.0518,106.033,4,0.546
16,Can't Feel My Face,Beauty Behind The Madness,The Weeknd,2015-08-28,213520,79,0.113,0.705,0.769,0.0,0.105,-5.526,0.0425,107.949,4,0.583
17,Slow Hands,Flicker (Deluxe),Niall Horan,2017-10-20,188174,77,0.011,0.735,0.425,0.0,0.055,-6.648,0.0464,85.896,4,0.848
18,Problem,My Everything (Deluxe),Ariana Grande,2014-08-25,193920,74,0.0192,0.66,0.805,8.83e-06,0.159,-5.352,0.153,103.008,4,0.625
19,Classic,MKTO,MKTO,2012,175426,67,0.0383,0.72,0.79,0.0,0.156,-4.686,0.125,102.068,4,0.755
20,Love Myself,HAIZ,Hailee Steinfeld,2016-02-26,218773,74,0.0026,0.617,0.759,0.0,0.419,-6.785,0.0678,122.924,4,0.324
21,The Middle,The Middle,Zedd,2018-01-23,184732,82,0.171,0.753,0.657,0.0,0.112,-3.061,0.0449,107.01,4,0.437
22,Can We Dance,Meet The Vamps,The Vamps,2014-01-01,192710,63,0.00312,0.64,0.82,0.0,0.189,-4.729,0.0464,130.108,4,0.583
23,Who Says,When The Sun Goes Down,Selena Gomez & The Scene,2011-01-01,195613,75,0.0843,0.682,0.927,0.0,0.149,-2.915,0.0479,101.019,4,0.744
24,Trust Fund Baby,Trust Fund Baby,Why Don't We,2018-02-01,184460,68,0.0629,0.624,0.785,0.0,0.135,-3.337,0.0498,163.929,4,0.593
25,Worth It (feat. Kid Ink),Reflection (Deluxe),Fifth Harmony,2015-01-30,224573,75,0.063,0.884,0.765,7.04e-06,0.118,-3.865,0.0882,99.987,4,0.594
26,Pretty Girl - Cheat Codes X CADE Remix,Pretty Girl (Cheat Codes X CADE Remix),Maggie Lindemann,2017-03-02,193613,78,0.15,0.703,0.868,0.132,0.104,-4.661,0.0291,121.03,4,0.733
27,Break Free,My Everything (Deluxe),Ariana Grande,2014-08-25,214840,74,0.0064,0.687,0.702,4.35e-05,0.204,-5.324,0.0455,129.956,4,0.284
