,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,2020-04-17,181733,100,0.746,0.247,0.746,0.69,0.0,0.101,-7.956,0.164,89.977,4
1,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685,2020-06-11,171374,96,0.767,0.234,0.767,0.481,0.0,0.269,-8.52,0.0803,150.076,4
2,cardigan,folklore,Taylor Swift,2020-07-24,239560,91,0.613,0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033,4
3,Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,99,0.514,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4
4,Butterfly,Butterfly,Marnik,2020-07-17,170693,53,0.771,0.0769,0.771,0.805,3.27e-05,0.143,-4.823,0.0449,135.043,4
5,Watermelon Sugar,Fine Line,Harry Styles,2019-12-13,174000,96,0.548,0.122,0.548,0.816,0.0,0.335,-4.209,0.0465,95.39,4
6,exile (feat. Bon Iver),folklore,Taylor Swift,2020-07-24,285634,90,0.298,0.778,0.298,0.38,5.62e-05,0.11,-8.426,0.0287,75.602,4
7,Leave U,Leave U,Naes London,2020-01-17,212800,29,0.632,0.3,0.632,0.664,0.0,0.0845,-7.131,0.0709,94.965,4
8,Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN,2019-10-09,176840,95,0.77,0.0167,0.77,0.724,0.0107,0.353,-5.484,0.0495,121.975,4
9,Back Together (LANNÉ Remix),Back Together (LANNÉ Remix),Leo Salom,2020-07-24,129384,53,0.78,0.0472,0.78,0.853,8.43e-06,0.174,-6.812,0.0454,127.997,4
10,the 1,folklore,Taylor Swift,2020-07-24,210251,90,0.777,0.757,0.777,0.357,7.28e-06,0.108,-6.942,0.0522,139.883,4
11,Come & Go (with Marshmello),Legends Never Die,Juice WRLD,2020-07-10,205484,92,0.625,0.0172,0.625,0.814,0.0,0.158,-5.181,0.0657,144.991,4
12,Breaking Me,Breaking Me,Topic,2019-12-19,166793,95,0.789,0.223,0.789,0.72,0.0,0.129,-5.652,0.218,122.031,4
13,Driving My Mustang,Driving My Mustang,Ekat Bork,2020-07-13,211965,36,0.601,0.00422,0.601,0.847,0.0113,0.119,-5.854,0.0404,129.907,4
14,UN DIA (ONE DAY) (Feat. Tainy),UN DIA (ONE DAY) (Feat. Tainy),J Balvin,2020-07-24,232253,88,0.571,0.00536,0.571,0.693,0.0,0.173,-8.234,0.0545,168.169,4
15,the last great american dynasty,folklore,Taylor Swift,2020-07-24,230999,88,0.686,0.467,0.686,0.662,0.0023,0.109,-8.505,0.0413,147.922,4
16,Wishing Well,Legends Never Die,Juice WRLD,2020-07-10,194621,93,0.65,0.00336,0.65,0.613,0.0,0.267,-6.13,0.128,149.972,4
17,Sunlite,Sunlite,Reptile Room,2020-05-29,202011,42,0.491,0.398,0.491,0.666,0.122,0.094,-5.883,0.057,108.001,5
18,LIKE THE MOON,LIKE THE MOON,GARRETT PAKNIS,2020-06-12,168000,38,0.754,0.0719,0.754,0.935,1.62e-05,0.405,-4.878,0.141,100.016,4
19,my tears ricochet,folklore,Taylor Swift,2020-07-24,255893,88,0.456,0.806,0.456,0.263,0.0,0.0749,-10.63,0.0332,129.86,4
20,death bed (coffee for your head),death bed (coffee for your head),Powfu,2020-02-08,173333,95,0.726,0.731,0.726,0.431,0.0,0.696,-8.765,0.135,144.026,4
21,Dance Monkey,Dance Monkey,Tones And I,2019-05-10,209754,71,0.825,0.688,0.825,0.593,0.000161,0.17,-6.401,0.0988,98.078,4
22,Icarus,Icarus,Lanstan,2020-07-03,163465,38,0.646,0.342,0.646,0.527,7.87e-05,0.102,-8.935,0.0561,142.983,4
23,august,folklore,Taylor Swift,2020-07-24,261922,87,0.532,0.538,0.532,0.623,7.28e-05,0.0925,-9.208,0.0331,89.937,4
24,Sick In The Head,Sick In The Head,TEGI,2020-06-22,182427,36,0.635,0.0697,0.635,0.957,0.385,0.135,-5.679,0.105,149.976,4
25,Rain On Me (with Ariana Grande),Chromatica,Lady Gaga,2020-05-29,182200,87,0.672,0.021,0.672,0.855,0.0,0.323,-3.764,0.0397,123.056,4
26,La Jeepeta - Remix,Now Or Never,Nio Garcia,2020-07-24,345240,74,0.814,0.297,0.814,0.714,4.89e-06,0.091,-4.65,0.207,176.013,4
27,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),Surf Mesa,2019-11-26,176546,94,0.674,0.0686,0.674,0.774,0.00188,0.393,-7.567,0.0892,112.05,4
28,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",Jack Harlow,2020-06-24,227478,92,0.904,0.0631,0.904,0.723,0.0,0.185,-5.224,0.26,145.013,4
29,POPSTAR (feat. Drake),POPSTAR (feat. Drake),DJ Khaled,2020-07-17,200221,90,0.8,0.057,0.8,0.56,0.0,0.134,-4.818,0.261,163.071,4
